Date : 2021-09-27 13:37:23
Directory : c:\Users\surya\practice projects\flutter\notes_app
Total : 480 files,  168573 codes, 9573 comments, 658 blanks, all 178804 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| build\firebase_auth                                                                                                                                                                               |         13 |         76 |          6 |         10 |         92 |
| build\firebase_auth\generated                                                                                                                                                                     |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source                                                                                                                                                              |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source\buildConfig                                                                                                                                                  |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source\buildConfig\debug                                                                                                                                            |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source\buildConfig\debug\io                                                                                                                                         |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source\buildConfig\debug\io\flutter                                                                                                                                 |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source\buildConfig\debug\io\flutter\plugins                                                                                                                         |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source\buildConfig\debug\io\flutter\plugins\firebase                                                                                                                |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\generated\source\buildConfig\debug\io\flutter\plugins\firebase\auth                                                                                                           |          1 |          8 |          5 |          2 |         15 |
| build\firebase_auth\intermediates                                                                                                                                                                 |         12 |         68 |          1 |          8 |         77 |
| build\firebase_auth\intermediates\aapt_friendly_merged_manifests                                                                                                                                  |          2 |         28 |          0 |          3 |         31 |
| build\firebase_auth\intermediates\aapt_friendly_merged_manifests\debug                                                                                                                            |          2 |         28 |          0 |          3 |         31 |
| build\firebase_auth\intermediates\aapt_friendly_merged_manifests\debug\aapt                                                                                                                       |          2 |         28 |          0 |          3 |         31 |
| build\firebase_auth\intermediates\aar_metadata                                                                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| build\firebase_auth\intermediates\aar_metadata\debug                                                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| build\firebase_auth\intermediates\annotation_processor_list                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| build\firebase_auth\intermediates\annotation_processor_list\debug                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| build\firebase_auth\intermediates\incremental                                                                                                                                                     |          5 |          8 |          1 |          1 |         10 |
| build\firebase_auth\intermediates\incremental\mergeDebugJniLibFolders                                                                                                                             |          1 |          2 |          0 |          0 |          2 |
| build\firebase_auth\intermediates\incremental\mergeDebugShaders                                                                                                                                   |          1 |          2 |          0 |          0 |          2 |
| build\firebase_auth\intermediates\incremental\packageDebugAssets                                                                                                                                  |          1 |          2 |          0 |          0 |          2 |
| build\firebase_auth\intermediates\incremental\packageDebugResources                                                                                                                               |          2 |          2 |          1 |          1 |          4 |
| build\firebase_auth\intermediates\library_manifest                                                                                                                                                |          1 |         12 |          0 |          3 |         15 |
| build\firebase_auth\intermediates\library_manifest\debug                                                                                                                                          |          1 |         12 |          0 |          3 |         15 |
| build\firebase_auth\intermediates\navigation_json                                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| build\firebase_auth\intermediates\navigation_json\debug                                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| build\firebase_auth\intermediates\packaged_manifests                                                                                                                                              |          1 |         16 |          0 |          0 |         16 |
| build\firebase_auth\intermediates\packaged_manifests\debug                                                                                                                                        |          1 |         16 |          0 |          0 |         16 |
| build\firebase_core                                                                                                                                                                               |         13 |         76 |          6 |         10 |         92 |
| build\firebase_core\generated                                                                                                                                                                     |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source                                                                                                                                                              |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source\buildConfig                                                                                                                                                  |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source\buildConfig\debug                                                                                                                                            |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source\buildConfig\debug\io                                                                                                                                         |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source\buildConfig\debug\io\flutter                                                                                                                                 |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source\buildConfig\debug\io\flutter\plugins                                                                                                                         |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source\buildConfig\debug\io\flutter\plugins\firebase                                                                                                                |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\generated\source\buildConfig\debug\io\flutter\plugins\firebase\core                                                                                                           |          1 |          8 |          5 |          2 |         15 |
| build\firebase_core\intermediates                                                                                                                                                                 |         12 |         68 |          1 |          8 |         77 |
| build\firebase_core\intermediates\aapt_friendly_merged_manifests                                                                                                                                  |          2 |         28 |          0 |          3 |         31 |
| build\firebase_core\intermediates\aapt_friendly_merged_manifests\debug                                                                                                                            |          2 |         28 |          0 |          3 |         31 |
| build\firebase_core\intermediates\aapt_friendly_merged_manifests\debug\aapt                                                                                                                       |          2 |         28 |          0 |          3 |         31 |
| build\firebase_core\intermediates\aar_metadata                                                                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| build\firebase_core\intermediates\aar_metadata\debug                                                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| build\firebase_core\intermediates\annotation_processor_list                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| build\firebase_core\intermediates\annotation_processor_list\debug                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| build\firebase_core\intermediates\incremental                                                                                                                                                     |          5 |          8 |          1 |          1 |         10 |
| build\firebase_core\intermediates\incremental\mergeDebugJniLibFolders                                                                                                                             |          1 |          2 |          0 |          0 |          2 |
| build\firebase_core\intermediates\incremental\mergeDebugShaders                                                                                                                                   |          1 |          2 |          0 |          0 |          2 |
| build\firebase_core\intermediates\incremental\packageDebugAssets                                                                                                                                  |          1 |          2 |          0 |          0 |          2 |
| build\firebase_core\intermediates\incremental\packageDebugResources                                                                                                                               |          2 |          2 |          1 |          1 |          4 |
| build\firebase_core\intermediates\library_manifest                                                                                                                                                |          1 |         12 |          0 |          3 |         15 |
| build\firebase_core\intermediates\library_manifest\debug                                                                                                                                          |          1 |         12 |          0 |          3 |         15 |
| build\firebase_core\intermediates\navigation_json                                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| build\firebase_core\intermediates\navigation_json\debug                                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| build\firebase_core\intermediates\packaged_manifests                                                                                                                                              |          1 |         16 |          0 |          0 |         16 |
| build\firebase_core\intermediates\packaged_manifests\debug                                                                                                                                        |          1 |         16 |          0 |          0 |         16 |
| build\firebase_storage                                                                                                                                                                            |         13 |         76 |          6 |         10 |         92 |
| build\firebase_storage\generated                                                                                                                                                                  |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source                                                                                                                                                           |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source\buildConfig                                                                                                                                               |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source\buildConfig\debug                                                                                                                                         |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source\buildConfig\debug\io                                                                                                                                      |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source\buildConfig\debug\io\flutter                                                                                                                              |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source\buildConfig\debug\io\flutter\plugins                                                                                                                      |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source\buildConfig\debug\io\flutter\plugins\firebase                                                                                                             |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\generated\source\buildConfig\debug\io\flutter\plugins\firebase\storage                                                                                                     |          1 |          8 |          5 |          2 |         15 |
| build\firebase_storage\intermediates                                                                                                                                                              |         12 |         68 |          1 |          8 |         77 |
| build\firebase_storage\intermediates\aapt_friendly_merged_manifests                                                                                                                               |          2 |         28 |          0 |          3 |         31 |
| build\firebase_storage\intermediates\aapt_friendly_merged_manifests\debug                                                                                                                         |          2 |         28 |          0 |          3 |         31 |
| build\firebase_storage\intermediates\aapt_friendly_merged_manifests\debug\aapt                                                                                                                    |          2 |         28 |          0 |          3 |         31 |
| build\firebase_storage\intermediates\aar_metadata                                                                                                                                                 |          1 |          2 |          0 |          1 |          3 |
| build\firebase_storage\intermediates\aar_metadata\debug                                                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| build\firebase_storage\intermediates\annotation_processor_list                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| build\firebase_storage\intermediates\annotation_processor_list\debug                                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| build\firebase_storage\intermediates\incremental                                                                                                                                                  |          5 |          8 |          1 |          1 |         10 |
| build\firebase_storage\intermediates\incremental\mergeDebugJniLibFolders                                                                                                                          |          1 |          2 |          0 |          0 |          2 |
| build\firebase_storage\intermediates\incremental\mergeDebugShaders                                                                                                                                |          1 |          2 |          0 |          0 |          2 |
| build\firebase_storage\intermediates\incremental\packageDebugAssets                                                                                                                               |          1 |          2 |          0 |          0 |          2 |
| build\firebase_storage\intermediates\incremental\packageDebugResources                                                                                                                            |          2 |          2 |          1 |          1 |          4 |
| build\firebase_storage\intermediates\library_manifest                                                                                                                                             |          1 |         12 |          0 |          3 |         15 |
| build\firebase_storage\intermediates\library_manifest\debug                                                                                                                                       |          1 |         12 |          0 |          3 |         15 |
| build\firebase_storage\intermediates\navigation_json                                                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| build\firebase_storage\intermediates\navigation_json\debug                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| build\firebase_storage\intermediates\packaged_manifests                                                                                                                                           |          1 |         16 |          0 |          0 |         16 |
| build\firebase_storage\intermediates\packaged_manifests\debug                                                                                                                                     |          1 |         16 |          0 |          0 |         16 |
| build\flutter_assets                                                                                                                                                                              |          2 |          2 |          0 |          0 |          2 |
| build\flutter_plugin_android_lifecycle                                                                                                                                                            |         13 |         60 |          4 |          8 |         72 |
| build\flutter_plugin_android_lifecycle\generated                                                                                                                                                  |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\generated\source                                                                                                                                           |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\generated\source\buildConfig                                                                                                                               |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\generated\source\buildConfig\debug                                                                                                                         |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\generated\source\buildConfig\debug\io                                                                                                                      |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\generated\source\buildConfig\debug\io\flutter                                                                                                              |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\generated\source\buildConfig\debug\io\flutter\plugins                                                                                                      |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\generated\source\buildConfig\debug\io\flutter\plugins\flutter_plugin_android_lifecycle                                                                     |          1 |          6 |          3 |          2 |         11 |
| build\flutter_plugin_android_lifecycle\intermediates                                                                                                                                              |         12 |         54 |          1 |          6 |         61 |
| build\flutter_plugin_android_lifecycle\intermediates\aapt_friendly_merged_manifests                                                                                                               |          2 |         21 |          0 |          2 |         23 |
| build\flutter_plugin_android_lifecycle\intermediates\aapt_friendly_merged_manifests\debug                                                                                                         |          2 |         21 |          0 |          2 |         23 |
| build\flutter_plugin_android_lifecycle\intermediates\aapt_friendly_merged_manifests\debug\aapt                                                                                                    |          2 |         21 |          0 |          2 |         23 |
| build\flutter_plugin_android_lifecycle\intermediates\aar_metadata                                                                                                                                 |          1 |          2 |          0 |          1 |          3 |
| build\flutter_plugin_android_lifecycle\intermediates\aar_metadata\debug                                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| build\flutter_plugin_android_lifecycle\intermediates\annotation_processor_list                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| build\flutter_plugin_android_lifecycle\intermediates\annotation_processor_list\debug                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| build\flutter_plugin_android_lifecycle\intermediates\incremental                                                                                                                                  |          5 |          8 |          1 |          1 |         10 |
| build\flutter_plugin_android_lifecycle\intermediates\incremental\mergeDebugJniLibFolders                                                                                                          |          1 |          2 |          0 |          0 |          2 |
| build\flutter_plugin_android_lifecycle\intermediates\incremental\mergeDebugShaders                                                                                                                |          1 |          2 |          0 |          0 |          2 |
| build\flutter_plugin_android_lifecycle\intermediates\incremental\packageDebugAssets                                                                                                               |          1 |          2 |          0 |          0 |          2 |
| build\flutter_plugin_android_lifecycle\intermediates\incremental\packageDebugResources                                                                                                            |          2 |          2 |          1 |          1 |          4 |
| build\flutter_plugin_android_lifecycle\intermediates\library_manifest                                                                                                                             |          1 |          5 |          0 |          2 |          7 |
| build\flutter_plugin_android_lifecycle\intermediates\library_manifest\debug                                                                                                                       |          1 |          5 |          0 |          2 |          7 |
| build\flutter_plugin_android_lifecycle\intermediates\navigation_json                                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| build\flutter_plugin_android_lifecycle\intermediates\navigation_json\debug                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| build\flutter_plugin_android_lifecycle\intermediates\packaged_manifests                                                                                                                           |          1 |         16 |          0 |          0 |         16 |
| build\flutter_plugin_android_lifecycle\intermediates\packaged_manifests\debug                                                                                                                     |          1 |         16 |          0 |          0 |         16 |
| build\image_picker                                                                                                                                                                                |         14 |         87 |          4 |         11 |        102 |
| build\image_picker\generated                                                                                                                                                                      |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\generated\source                                                                                                                                                               |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\generated\source\buildConfig                                                                                                                                                   |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\generated\source\buildConfig\debug                                                                                                                                             |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\generated\source\buildConfig\debug\io                                                                                                                                          |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\generated\source\buildConfig\debug\io\flutter                                                                                                                                  |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\generated\source\buildConfig\debug\io\flutter\plugins                                                                                                                          |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\generated\source\buildConfig\debug\io\flutter\plugins\imagepicker                                                                                                              |          1 |          6 |          3 |          2 |         11 |
| build\image_picker\intermediates                                                                                                                                                                  |         13 |         81 |          1 |          9 |         91 |
| build\image_picker\intermediates\aapt_friendly_merged_manifests                                                                                                                                   |          2 |         32 |          0 |          3 |         35 |
| build\image_picker\intermediates\aapt_friendly_merged_manifests\debug                                                                                                                             |          2 |         32 |          0 |          3 |         35 |
| build\image_picker\intermediates\aapt_friendly_merged_manifests\debug\aapt                                                                                                                        |          2 |         32 |          0 |          3 |         35 |
| build\image_picker\intermediates\aar_metadata                                                                                                                                                     |          1 |          2 |          0 |          1 |          3 |
| build\image_picker\intermediates\aar_metadata\debug                                                                                                                                               |          1 |          2 |          0 |          1 |          3 |
| build\image_picker\intermediates\annotation_processor_list                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| build\image_picker\intermediates\annotation_processor_list\debug                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| build\image_picker\intermediates\incremental                                                                                                                                                      |          5 |          9 |          1 |          1 |         11 |
| build\image_picker\intermediates\incremental\mergeDebugJniLibFolders                                                                                                                              |          1 |          2 |          0 |          0 |          2 |
| build\image_picker\intermediates\incremental\mergeDebugShaders                                                                                                                                    |          1 |          2 |          0 |          0 |          2 |
| build\image_picker\intermediates\incremental\packageDebugAssets                                                                                                                                   |          1 |          2 |          0 |          0 |          2 |
| build\image_picker\intermediates\incremental\packageDebugResources                                                                                                                                |          2 |          3 |          1 |          1 |          5 |
| build\image_picker\intermediates\library_manifest                                                                                                                                                 |          1 |         16 |          0 |          3 |         19 |
| build\image_picker\intermediates\library_manifest\debug                                                                                                                                           |          1 |         16 |          0 |          3 |         19 |
| build\image_picker\intermediates\navigation_json                                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| build\image_picker\intermediates\navigation_json\debug                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| build\image_picker\intermediates\packaged_manifests                                                                                                                                               |          1 |         16 |          0 |          0 |         16 |
| build\image_picker\intermediates\packaged_manifests\debug                                                                                                                                         |          1 |         16 |          0 |          0 |         16 |
| build\image_picker\intermediates\packaged_res                                                                                                                                                     |          1 |          4 |          0 |          1 |          5 |
| build\image_picker\intermediates\packaged_res\debug                                                                                                                                               |          1 |          4 |          0 |          1 |          5 |
| build\image_picker\intermediates\packaged_res\debug\xml                                                                                                                                           |          1 |          4 |          0 |          1 |          5 |
| build\web                                                                                                                                                                                         |          7 |     74,916 |      4,590 |         18 |     79,524 |
| build\web\assets                                                                                                                                                                                  |          2 |          2 |          0 |          0 |          2 |
| ios                                                                                                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                                     |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                                             |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                                               |         23 |      2,303 |         76 |        208 |      2,587 |
| lib\core                                                                                                                                                                                          |         10 |        655 |         20 |        105 |        780 |
| lib\core\Notifiers                                                                                                                                                                                |          6 |        380 |          8 |         66 |        454 |
| lib\core\Notifiers\widgets                                                                                                                                                                        |          2 |         72 |          0 |         14 |         86 |
| lib\core\models                                                                                                                                                                                   |          2 |         60 |          0 |         12 |         72 |
| lib\core\services                                                                                                                                                                                 |          2 |        215 |         12 |         27 |        254 |
| lib\pages                                                                                                                                                                                         |          4 |        744 |          8 |         33 |        785 |
| lib\themeData                                                                                                                                                                                     |          1 |        128 |          0 |          7 |        135 |
| lib\widgets                                                                                                                                                                                       |          5 |        697 |         38 |         50 |        785 |
| test                                                                                                                                                                                              |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                                                                               |          2 |         70 |         15 |         10 |         95 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\Extension State\000003.log                                                                                    | Log        |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\.dart_tool\chrome-device\Default\File System\Origins\000003.log                                                                                | Log        |          1 |          0 |          0 |          1 |
